Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2021-4";"Arnoud van Delden";"Elektronik";"Der Zauberling (Teil 3): Ein erster Trick";"52–57";"Der neumodische Magier ist in den Startlöchern. Der Zauberstab wurde poliert. Die ersten Zaubersprüche sind gelernt. Es ist noch nicht perfekt, aber das große Zauberbuch kann jederzeit ergänzt oder verbessert werden. In wenigen Sekunden sieht er einen Raum voller alter Bekannter, mit denen er zusammenarbeiten kann. Dann geht der Vorhang auf. Es ist an der Zeit, seine magischen Künste zu zeigen!"
"2021-4";"Hans-Christian Funke";"Elektronik";"Ampelsteuerung";"58–61";"Schon mit den ersten em-Baukästen von fischertechnik konnte man mit Hilfe von Schleifringen und Abnehmern eine Ampel-Schaltung herstellen. In späteren Varianten konnte man mit Nockenscheiben und Tastern die Umsetzung etwas eleganter lösen. Mit den Silberlingen war eine erste komplett elektronische Umsetzung möglich. Daran anknüpfend zeige ich hier verschiedene Umsetzungen mit meinen Elektronikmodulen."
"2021-4";"Dirk Fox";"Regelungstechnik (Grundlagen)";"PID-Regler – eine experimentelle Einführung";"62–72";"Regler finden wir in zahlreichen technischen Geräten. Und sie verbreiten sich immer weiter: Sie sind das Herzstück vieler (teil-)autonomer Systeme und zählen inzwischen zu den wichtigsten Anwendungen von Mikrocontrollern [1]. Eine zentrale Rolle spielen darunter PID-Regler [2]. Mit der Oszilloskop-Funktion von ROBO Pro lässt sich deren Funktionsweise am TXT-Controller wunderbar anschaulich zeigen."
"2021-4";"Helmut Jawtusch";"Computing";"fischertechnik-Roboter mit Arduino (Teil 4): Buggy-Steuerung mit dem ftDuino";"73–74";"Die Roboter aus dem Buch „fischertechnik-Roboter mit Arduino“ [1] haben zahlreiche Leser zu weiteren Modellvarianten angeregt. In loser Folge werden in dieser Serie einige dieser Modelle vorgestellt. Diesmal wird das Herz des „Buggy“ durch einen ftDuino ersetzt."
"2021-4";"Dirk Fox";"Computing";"Experimente mit dem Kombisensor (Teil 2)";"75–83";"Vor drei Jahren brachte fischertechnik den „Kombisensor“ (158402) auf den Markt – einen IMU-Sensor (Inertial Measurement Unit), der via I²C-Protokoll an den TXT angeschlossen werden kann. Der etwas unglückliche Name verrät allerdings nicht, was der Sensor alles kann. Im ersten Teil des Beitrags [3] habe ich den Sensor und einige Einsatzmöglichkeiten vorgestellt. Jetzt geht es ein wenig in die Tiefe – und heraus kommt ein verbesserter ROBO Pro-Treiber."
"2021-3";"Dirk Fox";"Editorial";"Der schönste Beruf der Welt";"2";
"2021-3";"Rüdiger Riedel";"Modell";"Blumen";"4–10";"Alle Käfer, Spinnen und Schmetterlinge [1] wünschen sich Blumen. Hier sind sie!"
"2021-3";"Rüdiger Riedel";"Modell";"Zweirad";"11–18";"Der Hailfire Droid (Hagelfeuer Droide) aus der Star-Wars-Serie begeistert mich immer noch."
"2021-3";"Rüdiger Riedel";"Grundlagen";"Der Stirling-Motor";"19–27";"Er ist viel älter als Diesel- und Otto-Motor, wurde im Jahr 1816 von Robert Stirling (1790-1878) erfunden [3] und war gedacht als Verbesserung gegenüber der Dampfmaschine [1, 2] – einer der vielen Typen von Heißgasmotoren."
"2021-3";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 3): Die Stationen";"28–37";"Diese Artikelserie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn/Doppelmayr (10-MGD)“ im Fördertechnik-Museum Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 [1] in Mannheim. In dieser Folge zeigen wir die Planung der Stationen."
"2021-3";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 4)";"38–48";"Da die Silberlinge an ihren Ausgängen nur 20 mA vertragen, braucht man eine Möglichkeit, größere Ströme zu schalten: das Relais."
"2021-3";"Hans-Christian Funke";"Elektronik";"Labor für digitale Elektronik";"49–55";"Auf digitaler Elektronik basiert jeder PC, jedes Notebook, Tablet, Smartphone usw. Ohne die digitale Elektronik geht in unserer Gesellschaft kaum noch etwas. Aber wie funktioniert das mit der digitalen Technik? Was sollte man darüber wissen? Wie kann man einen Einstieg bekommen? Und kann man die auch für fischertechnik einsetzen, ohne nur eine Black Box in seinem Modell zu integrieren?"
"2021-3";"Arnoud van Delden";"Elektronik";"Der Zauberling (Teil 1): Der Zauberstab";"56–66";"Der „Silberling“ war für viele vor langer Zeit der Einstieg in die schwer fassbare magische Welt der Elektronik. Diese Zauberei wurde seitdem um zeitgemäße Alchemisten wie Mikrocontroller und Computer erweitert. Doch ein moderner Zauberlehrling denkt über die Zugehörigkeit zu den Magiern von einst nach. Könnte eine magische Brücke zwischen den beiden Universen gebaut werden? In diesem ersten Teil tauchen wir in das Wurmloch ein und schauen uns die mögliche Hardware für einen solchen Zauberlehrling an. Denn wie kann ein Magier ohne die richtigen Attribute staunen und verzaubern? Der Zauberstab muss stimmen!"
"2021-3";"Kurt Mexner";"Computing";"ROBO Pro wird sensibel - Lichtempfindliche Widerstände";"67–69";"Mit verschiedenen Sensoren werden die Möglichkeiten des TXT Discovery Sets erheblich erweitert. Mit dieser Reihe möchte ich einige dieser Sensoren vorstellen. Heute geht es um die Wahrnehmung von Licht."
"2021-3";"Matthias Dettmer";"Computing";"Revival: Relais und Gabellichtschranke an TXT und ftDuino";"70–74";"Mal Hand auf’s Herz: Wer hat zuletzt etwas mit einem oder mehreren Silberlingen, etwa dem h4RB (36392), dem alten Relaisbaustein RBII (37683) oder gar einer Gabellichtschranke (32357) aus dem ersten Robotics-Baukasten gebaut? Für mein Projekt „Solarfarm“ brauchte ich mindestens sechs, besser acht Relais, um zwischen Solarzellen, Verbrauchern und Speichern „herumschalten“ zu können. Tief unten in meinem Fundus fand ich acht h4RB – also los."
"2021-3";"Till Harbaum, Fabian Harbaum";"Computing";"WASD-Pad: Gamepad einmal anders";"75–77";"Besonders interessant wird es bei fischertechnik-Konstruktionen eigentlich immer dann, wenn man die fischertechnik-Insel verlässt und sich Problemen außerhalb der Blase widmet, die man dann mit Baukastenelementen löst. Das hier präsentierte Gamepad ist ein solches Projekt."
"2021-3";"Dirk Fox";"Computing";"Experimente mit dem Kombisensor";"78–91";"Im Jahr 2018 brachte fischertechnik einen IMU (Inertial Measurement Unit) auf den Markt, der via I²C-Protokoll mit dem TXT verbunden werden kann – den „Kombisensor“ (158402). Eine etwas unglückliche Bezeichnung, verrät sie doch nicht, was der Sensor alles kann. Zunächst war er nur mit dem Education-Baukasten „Robotics Competition Set“ erhältlich; inzwischen gibt es ihn auch als Einzelteil. Tatsächlich ist damit einiges möglich..."
"2021-2";"Dirk Fox";"Editorial";"42";"2";
"2021-2";"Fabian Haas";"Modell";"Fotostudio für Makrofotografie";"4–6";"Die Makrofotografie wird immer beliebter. Dabei sind nicht nur Insekten in freier Wildbahn im Focus, sondern oft auch H0-Modelleisenbahnfiguren (Maßstab 1:87) und Szenen. Egal ob drinnen oder draußen, das Licht ist wichtig! In diesem Beitrag beschreibe ich ein simples und flexibles Fotostudio für diesen Zweck."
"2021-2";"Fabian Haas";"Modell";"Kreuztisch";"7–10";"Die Makrofotografie wird immer beliebter! Wer kleine Dinge groß herausbringen will, braucht ein kleines, aber feines Fotostudio. In der Makrofotografie spielt aber auch die Ausrichtung der Objekte eine große Rolle. Wenn die Kamera fest auf einem Stativ steht, muss das Objekt möglichst genau in (wenigstens) zwei Achsen bewegt werden. Dazu habe ich einen sogenannten Kreuztisch entwickelt, der genau dies erlaubt."
"2021-2";"Fabian Haas";"Modell";"Stacking-Schlitten für Stapelbilder";"11–16";"Die Makrofotografie wird immer beliebter! Ein Trend, der durch die gestiegene Rechenpower in den Kameras und Computern möglich wurde, ist das so genannte Image Stacking bzw. Stapelbilder. Dabei werden viele Aufnahmen gemacht, die nur inen schmalen, aber jeweils anderen Bereich des Motivs scharf abbilden, und dann zu einem einzigen durchgehend scharfen Bild zusammengesetzt. Hier möchte ich meinen Schlitten für Stapelbilder vorstellen, der den exakten Vortrieb zwischen den Bildern von nur wenigen 1/100 mm ermöglicht."
"2021-2";"Florian Bauer";"Getriebe";"Schmidt-Kupplung";"17–20";"Im innoffiziellen Lego-Technik-Buch [1] fand ich das Modell einer Schmidt-Kupplung, einer witzigen Konstruktion, um variable Achsversätze zu ermöglichen"
"2021-2";"Rüdiger Riedel";"Modell";"Die beschwingte Schaukel";"21–27";"Schaukeln ist kinderleicht, die physikalische Erklärung ist es nicht. Und dann gibt es noch die Schiffsschaukel…"
"2021-2";"Claus Ludwig";"Modell";"Wellenflug – Wellenflieger";"28–35";"Nachdem ich im März 2020 mit meinem Flipper fertig wurde, der Artikel für die ft:pedia geschrieben und die Fotos gemacht waren, brauchte ich eine neue Idee. Die Modellideen, die ich gesammelt hatte, zogen mich gerade nicht an, sodass ich nach etwas Neuem suchte. Also begann ich alle Bilderpools und Archive zu fischertechnik systematisch durchzusehen. Und dabei stieß ich bei den Kollegen aus den Niederlanden [1] auf die Videos von und über die Modelle von Alfred Pettera."
"2021-2";"Arnoud van Delden";"Modell";"Die unendliche Lemniskate";"36–44";"Vor einiger Zeit dachte ich zusammen mit einem Clubmitglied über ein Modell nach, bei dem eine Acht-Form ausgeführt werden sollte. Die Herausforderung bestand darin, dass ein Element wie ein Karren oder eine Kugel einen Weg gemäß einer „Bogenform“ oder einer „Lemniskaten“-Kurve beschreibt. Dadurch entsteht eine Bewegung, die sich im Zentrum schneidet. Wenn das keine Herausforderung ist ..."
"2021-2";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 2): Erste Elemente";"45–53";"Diese Serie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn/Doppelmayr (10-MGD)“ im Fördertechnik-Museum Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 in Mannheim. In dieser Folge zeigen wir die ersten Ergebnisse beim Bau."
"2021-2";"Peter Krijnen";"Elektronik";"Es blinkt";"54–57";"Der Auslöser für diesen Beitrag war die Frage eines Bekannten von mir, ob ich noch ein paar Winkelsteinen 30 habe und ob er sie ausleihen könne – für ein blinkendes Modell."
"2021-2";"Hans-Christian Funke";"Elektronik";"Echtzeitgenerator";"58–62";"Zu der von mir vorgestellten digitalen Uhr [1] wurde ich mehrfach angefragt, ob man nicht statt der recht aufwendigen Justierung einen Sekunden-Taktgeber bauen und anschließen könnte. Das wäre tatsächlich sehr praktisch und auch für andere Anwendung sinnvoll, z. B. könnte man die echte Laufzeit eines Pakets durch die Sortierstation, die eines Autos durch die Waschanlage oder die einer Kugel durch die Kugelbahn ermitteln."
"2021-2";"Hans-Christian Funke";"Elektronik";"Controller-Erweiterung";"63–65";"Über eins sind wir uns alle sicherlich einig: Die Anzahl der Steuereingänge und Steuerausgänge am Controller sind häufig nicht ausreichend."
"2021-2";"Hans-Christian Funke";"Modell";"Tresor";"66–79";"Eines meiner ersten elektronisch gesteuerten Modelle war ein Tresor. Diese Idee habe ich erneut aufgegriffen und ein Modell mit viel Raffinesse entworfen. Es gibt zwei Kodierungssysteme, die zum Öffnen geknackt werden müssen, eine Zeitverlängerung bei Fehlversuchen, eine doppelte Türverriegelung, und wer möchte, kann auch eine Sirene integrieren, die nach dem zweiten Fehlversuch aktiviert wird."
"2021-2";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 2)";"80–89";"„Volt, Watt, Ampère, Ohm – ohne mich gibt‘s keinen Strom“. Wenn sich Herr Hertz die Mühe macht, diese vier Herren zum Swingen zu bringen, kann das nur zu einem führen: Elektrizität. In diesem zweiten Teil möchte ich den Gleichrichter h4 GB (36393) vorstellen."
"2021-2";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 3)";"90–100";"Ist der Grundbaustein der Eckstein der Silberlinge? Der Mittelpunkt? Ich glaube schon. Außer als Verstärker (mit einem Eingang) kann er auch als Differenzverstärker (mit zwei Eingängen) verwendet werden, ebenso als Takt- oder Tongenerator. Er ist einstellbar und bietet einen normalen und einem invertierten Ausgang [1]."
"2021-2";"Franz Nachtsheim";"Computing";"Preisgünstige, autarke Stepper-Motorsteuerung";"101–106";"Die beste Lösung für die präzise Drehung einer Achse sind Schrittmotoren. Sie werden allerdings von den fischertechnik-Controllern nicht unterstützt. Lösungen wie der ftPwrDrive-Controller [1] oder das Adafruit-Motor-Shield sind dagegen manchmal überdimensioniert. Gesucht war eine möglichst kompakte Einheit zur Ansteuerung eines einzelnen Stepper-Motors. Parameter sollten eingebbar und der aktuelle Status der Steuerung jederzeit sichtbar sein. Damit auch mehrere dieser Steuerungen in einem Modell verbaut werden können, sollte die Lösung außerdem kostengünstig sein."
"2021-2";"Christian Bergschneider, Stefan Fuss";"Computing";"ftSwarm – Das Prinzip Heinzelmännchen";"107–111";"Bei der TX(T)-Controller-Serie von fischertechnik erscheint dieser Tage mit dem „TXT 4.0“ die nächste Generation. ftDuino [1] und ftPwrDrive [2] ergänzen die klassischen Controller mit ihren eigenen Anwendungsfällen. So unterschiedlich die Controller auch sind, ihre Grundflächen sind alle gleich. Der ftSwarm ergänzt das „90 · 90 mm-Axiom“ um das Prinzip Heinzelmännchen und ermöglicht so völlig neue Bauansätze."
"2021-2";"Till Harbaum";"Computing";"TXT 4.0 Controller – ein Blick unter die Haube";"112–116";"In wenigen Wochen läutet fischertechnik die nächste Runde seiner Robotics Controller ein. Mit dem TXT 4.0 tritt nach acht Jahren ein Nachfolger in die Fußstapfen des 2013 auf den Markt gekommenen TXT. Im Schlepptau hat der TXT 4.0 die Software ROBO Pro Coding, die – anders als der Name vermuten lässt – mit der langen ROBO Pro-Tradition bricht. Grund genug, das bisher verbreitete Wissen um die neue Plattform zusammenzutragen. Hier zunächst der Blick auf die Hardware."
"2021-2";"Till Harbaum";"Computing";"ROBO Pro Coding – ein Blick hinter die Kulissen";"117–122";"ROBO Pro ist seit vielen Jahren die Programmierumgebung der Wahl für die Robotics-Controller von fischertechnik. Mit ROBO Pro Coding ändert sich das trotz des ähnlichen Namens fundamental."
"2021-1";"Dirk Fox";"Editorial";"Galaktische Herausforderungen";"2";
"2021-1";"Dirk Fox";"Rätsel (Reportage)";"Oster-Rätsel";"4";"Ostern naht: mit Ferien, erneut verschärftem Lockdown und ohne Urlaubsreise. Für einen fischertechniker ist das eher ein Versprechen als eine Drohung – sofern es genug Essen im Haus und ausreichend Bauteile in den Kisten gibt. Eine seltene Chance, sich für einige Tage in Ideen, Konstruktionen und Experimenten zu verlieren."
"2021-1";"Rüdiger Riedel";"Modell";"Schmetterling";"5–6";"Schmetterling, du kleines Ding… es ist so schön, wenn der Frühling da ist."
"2021-1";"Harald Steinhaus";"Tipps & Tricks";"Kaulquappen (Teil 12)";"7–12";"Es wird Frühling, und im Frühling werden die Tage länger. Außerdem regen sich die Triebe. Das bestätigt sich auch beim Blick in den hiesigen fischertechnik-Froschteich. Im Detail geht es um Schneckentriebe, Seiltriebe, Linearantriebe und diverse andere Antriebe."
"2021-1";"Rüdiger Riedel";"Modell";"Getier im Frühling";"13–19";"Der Frühlingsbeginn ist die Tagundnachtgleiche. In diesem Jahr ist der astronomische Frühlingsanfang am Samstag, 20. März um 10:37 Uhr. Na prima, die Natur erwacht, es fängt an zu krabbeln, kriechen, fliegen. Was mag das alles sein? Das wollen wir uns näher ansehen."
"2021-1";"Robin Nikolas Woszidlo";"Tipps & Tricks";"Die fischertechnik-Werkzeugkiste";"20–21";"fischertechnik ist ein Baukastensystem, bei dem eigentlich alles enthalten ist, was man braucht. Normalerweise benötigt man kein Werkzeug, und wenn doch, wird es wie der kleine gelbe Schraubendreher immer mitgeliefert. Über die Jahre stellt man aber als Hardcore-Bauer fest, dass man doch manchmal Werkzeug braucht. Weil es nervig ist, wenn man dafür an die richtige Werkzeugkiste muss, habe ich mittlerweile eine Box 500 mit allem Werkzeug, das ich spezifisch für fischertechnik benötige. Das ist auch deshalb sehr praktisch, weil ich für Conventions an nichts denken muss, wenn die Box dabei ist."
"2021-1";"Robin Nikolas Woszidlo";"Tipps & Tricks";"The fischertechnik Toolbox";"22–23";"fischertechnik is a modular construction system which should contain everything out of the box. Usually, you would not need any tools, and if you do, they are included, like that little yellow screwdriver. Over the years you will notice though, that sometimes a few tools are needed. It is annoying to always access my large toolbox for that, so I packed together my personal fischertechnik Box 500, with all the tools I need specifically for ft."
